zipcode,year,risk_level,accident_frequency
90291,2016,2,473
90291,2017,2,410
90291,2018,2,462
90291,2019,2,518
90291,2020,2,362
90291,2021,1,162
90291,2022,1,158
90292,2010,0,94
90292,2011,0,79
90292,2012,0,73
90292,2013,0,79
90292,2014,0,64
90292,2015,0,76
90292,2016,0,96
90292,2017,0,94
90292,2018,0,99
90292,2019,0,88
90292,2020,0,81
90292,2021,0,38
90292,2022,0,22
90293,2010,0,88
90293,2011,0,80
90293,2012,0,88
90293,2013,0,76
90293,2014,0,76
90293,2015,0,77
90293,2016,0,96
90293,2017,0,92
90293,2018,0,86
90293,2019,0,88
90293,2020,0,94
90293,2021,0,49
90293,2022,0,37
90301,2010,0,54
90301,2011,0,69
90301,2012,0,72
90301,2013,0,65
90301,2014,0,77
90301,2015,0,60
90301,2016,0,60
90301,2017,0,75
90301,2018,0,79
90301,2019,0,83
90301,2020,0,41
90301,2021,0,22
90301,2022,0,9
90302,2010,0,7
90302,2011,0,10
90302,2012,0,4
90302,2013,0,17
90302,2014,0,10
90302,2015,0,18
90302,2016,0,17
90302,2017,0,15
90302,2018,0,21
90302,2019,0,29
90302,2020,0,12
90302,2021,0,7
90302,2022,0,2
90303,2010,0,0
90303,2011,0,0
90303,2012,0,0
90303,2013,0,0
90303,2014,0,1
90303,2015,0,0
90303,2016,0,0
90303,2017,0,0
90303,2018,0,0
90303,2019,0,0
90303,2020,0,0
90303,2021,0,0
90303,2022,0,0
90304,2010,0,37
90304,2011,0,39
90304,2012,0,39
90304,2013,0,32
90304,2014,0,31
90304,2015,0,40
90304,2016,0,34
90304,2017,0,51
90304,2018,0,61
90304,2019,0,47
90304,2020,0,26
90304,2021,0,10
90304,2022,0,15
90305,2010,0,0
90305,2011,0,0
90305,2012,0,0
90305,2013,0,0
90305,2014,0,1
90305,2015,0,0
90305,2016,0,0
90305,2017,0,0
90305,2018,0,0
90305,2019,0,0
90305,2020,0,0
90305,2021,0,0
90305,2022,0,0
90311,2010,0,2
90311,2011,0,3
90311,2012,0,2
90311,2013,0,2
90311,2014,0,1
90311,2015,0,0
90311,2016,0,0
90311,2017,0,0
90311,2018,0,0
90311,2019,0,0
90311,2020,0,0
90311,2021,0,0
90311,2022,0,0
90401,2010,0,12
90401,2011,0,10
90401,2012,0,8
90401,2013,0,16
90401,2014,0,22
90401,2015,0,5
90401,2016,0,9
90401,2017,0,7
90401,2018,0,13
90401,2019,0,8
90401,2020,0,12
90401,2021,0,3
90401,2022,0,3
90402,2010,0,89
90402,2011,0,89
90402,2012,0,77
90402,2013,0,83
90402,2014,0,58
90402,2015,0,67
90402,2016,0,86
90402,2017,0,88
90402,2018,0,80
90402,2019,0,87
90402,2020,0,88
90402,2021,0,41
90402,2022,0,23
90403,2010,0,57
90403,2011,0,65
90403,2012,0,77
90403,2013,0,53
90403,2014,0,68
90403,2015,0,56
90403,2016,0,80
90403,2017,0,68
90403,2018,0,68
90403,2019,0,76
90403,2020,0,38
90403,2021,0,14
90403,2022,0,8
90404,2010,0,17
90404,2011,0,23
90404,2012,0,35
90404,2013,0,24
90404,2014,0,19
90404,2015,0,36
90404,2016,0,36
90404,2017,0,23
90404,2018,0,26
90404,2019,0,24
90404,2020,0,12
90404,2021,0,6
90404,2022,0,6
90405,2010,0,69
90405,2011,0,81
90405,2012,0,85
90405,2013,0,84
90405,2014,0,66
90405,2015,0,96
90405,2016,0,73
90405,2017,0,82
90405,2018,0,82
90405,2019,0,113
90405,2020,0,56
90405,2021,0,23
90405,2022,0,25
90501,2010,0,91
90501,2011,0,86
90501,2012,0,88
90501,2013,0,84
90501,2014,0,89
90501,2015,0,98
90501,2016,0,102
90501,2017,0,106
90501,2018,0,99
90501,2019,0,117
90501,2020,0,87
90501,2021,0,50
90501,2022,0,29
90502,2010,0,31
90502,2011,0,45
90502,2012,0,37
90502,2013,0,38
90502,2014,0,43
90502,2015,0,46
90502,2016,0,43
90502,2017,0,36
90502,2018,0,44
90502,2019,0,67
90502,2020,0,37
90502,2021,0,19
90502,2022,0,13
90504,2010,0,41
90504,2011,0,37
90504,2012,0,33
90504,2013,0,31
90504,2014,0,37
90504,2015,0,32
90504,2016,0,34
90504,2017,0,35
90504,2018,0,35
90504,2019,0,42
90504,2020,0,25
90504,2021,0,12
90504,2022,0,14
90601,2010,0,1
90601,2011,0,0
90601,2012,0,0
90601,2013,0,0
90601,2014,0,0
90601,2015,0,0
90601,2016,0,0
90601,2017,0,0
90601,2018,0,0
90601,2019,0,0
90601,2020,0,0
90601,2021,0,0
90601,2022,0,0
90640,2010,0,0
90640,2011,0,1
90640,2012,0,0
90640,2013,0,0
90640,2014,0,0
90640,2015,0,0
90640,2016,0,0
90640,2017,0,0
90640,2018,0,0
90640,2019,0,0
90640,2020,0,0
90640,2021,0,0
90640,2022,0,0
90660,2010,0,0
90660,2011,0,0
90660,2012,0,0
90660,2013,0,1
90660,2014,0,0
90660,2015,0,0
90660,2016,0,0
90660,2017,0,0
90660,2018,0,0
90660,2019,0,0
90660,2020,0,0
90660,2021,0,0
90660,2022,0,0
90710,2010,1,202
90710,2011,1,212
90710,2012,1,188
90710,2013,1,190
90710,2014,1,189
90710,2015,1,190
90710,2016,1,200
90710,2017,1,202
90710,2018,1,212
90710,2019,1,225
90710,2020,1,203
90710,2021,0,78
90710,2022,0,76
90717,2010,0,91
90717,2011,0,81
90717,2012,0,88
90717,2013,0,70
90717,2014,0,86
90717,2015,0,68
90717,2016,0,101
90717,2017,0,110
